DESIGNATEDNAME,RIVER,AREAID,BOUNDARYSTATUS,CLASSIFICATION,OBJECTID,SHAPEAREA,SHAPELEN
"Chattooga, North Carolina, South Carolina and Georgia National Wild and Scenic River","Chattooga, North Carolina, South Carolina and Georgia",010,"Provisional, Subject to Change",Wild,159248,0.00437902981153215,1.14423882527586
"Chetco, Oregon National Wild and Scenic River","Chetco, Oregon",069,Final,Wild,159249,0.0033476744695151,0.949259849906269
"Clarks Fork Yellowstone, Wyoming National Wild and Scenic River","Clarks Fork Yellowstone, Wyoming",116,Final,Wild,159250,0.0032517507950062,0.742291965609571
"Cottonwood Creek, California National Wild and Scenic River","Cottonwood Creek, California",198,"Provisional, Subject to Change",Wild,159251,0.0022301281499439,0.559648213572223
"Deep Creek, California National Wild and Scenic River","Deep Creek, California",229,"Provisional, Subject to Change",Wild,159252,0.0025744125208789,0.644913294937413
"Eagle Creek, Oregon (Mt. Hood NF) National Wild and Scenic River","Eagle Creek, Oregon (Mt. Hood NF)",172,"Provisional, Subject to Change",Wild,159253,0.00122819685658715,0.309517966767972
"Eagle Creek, Oregon (Wallowa-Whitman NF) National Wild and Scenic River","Eagle Creek, Oregon (Wallowa-Whitman NF)",075,"Provisional, Subject to Change",Wild,159254,0.0003266020113253,0.162931161771515
"East Branch Tahquamenon, Michigan National Wild and Scenic River","East Branch Tahquamenon, Michigan",130,"Provisional, Subject to Change",Wild,159255,0.0002323918687705,0.0896601335317721
"East Fork Jemez, New Mexico National Wild and Scenic River","East Fork Jemez, New Mexico",109,"Provisional, Subject to Change",Wild,159256,0.0004452050813234,0.143057046012373
"East Rosebud Creek, Montana National Wild and Scenic River","East Rosebud Creek, Montana",213,"Provisional, Subject to Change",Wild,159257,0.00120172505837195,0.407078840993843
"Eel, California National Wild and Scenic River","Eel, California",SD8,"Provisional, Subject to Change",Wild,159258,0.00490566727156045,1.16647942215933
Elk National Wild and Scenic River,Elk,76,"Provisional, Subject to Change",Wild,159259,0.00383489891652325,0.994359956078973
"Elk, Oregon National Wild and Scenic River","Elk, Oregon",76,Final,Wild,159260,0.0012103515415227,0.308362869951459
"Elkhorn Creek, Oregon National Wild and Scenic River","Elkhorn Creek, Oregon",159,"Provisional, Subject to Change",Wild,159261,0.00088016331516425,0.253886968871854
"Feather, California National Wild and Scenic River","Feather, California",003,Final,Wild,159262,0.00460096434960045,1.30082930608293
"Fifteenmile Creek, Oregon National Wild and Scenic River","Fifteenmile Creek, Oregon",176,"Provisional, Subject to Change",Wild,159263,0.0029743490819839,0.493078689092317
"Flathead, Montana National Wild and Scenic River","Flathead, Montana",013,Final,Wild,159264,0.0133801237072896,2.98319619124163
"Fossil Creek, Arizona National Wild and Scenic River","Fossil Creek, Arizona",205,"Provisional, Subject to Change",Wild,159265,0.00111263864211365,0.302587014132264
"Franklin Creek, Oregon National Wild and Scenic River","Franklin Creek, Oregon",214,"Provisional, Subject to Change",Wild,159266,0.0006362738716113,0.170708278715186
"Grande Ronde, Oregon National Wild and Scenic River","Grande Ronde, Oregon",077,"Provisional, Subject to Change",Wild,159267,0.00458890069286525,1.00070508204859
"Hurricane Creek, Arkansas National Wild and Scenic River","Hurricane Creek, Arkansas",137,"Provisional, Subject to Change",Wild,159268,0.00030441971429755,0.0979709451835546
"Illabot Creek, Washington National Wild and Scenic River","Illabot Creek, Washington",211,"Provisional, Subject to Change",Wild,159269,0.00068873700358045,0.186664696468883
"Illinois, Oregon National Wild and Scenic River","Illinois, Oregon",054,Final,Wild,159270,0.00419168848652155,1.05162385002464
"Imnaha, Oregon National Wild and Scenic River","Imnaha, Oregon",078,"Provisional, Subject to Change",Wild,159271,0.0023415356950035,0.610941947879746
"Joseph Creek, Oregon National Wild and Scenic River","Joseph Creek, Oregon",080,"Provisional, Subject to Change",Wild,159272,0.0012225670889919,0.233090760928734
"Kern, California National Wild and Scenic River","Kern, California",064,"Provisional, Subject to Change",Wild,159273,0.0082508079399383,3.02801775886596
"Kings, California National Wild and Scenic River","Kings, California",063,Final,Wild,159274,0.00195123106671915,0.518798602130998
"Klamath, California National Wild and Scenic River","Klamath, California",SD9,Final,Wild,159275,4.848851596585e-05,0.369027497797374
"Little Missouri, Arkansas National Wild and Scenic River","Little Missouri, Arkansas",138,"Provisional, Subject to Change",Wild,159276,0.00040322444438485,0.143173044730017
"Lostine, Oregon National Wild and Scenic River","Lostine, Oregon",082,"Provisional, Subject to Change",Wild,159277,0.00072156588809865,0.179966828407507
"Malheur, Oregon National Wild and Scenic River","Malheur, Oregon",083,Final,Wild,159278,0.00131659900364305,0.283156033505453
